"01-16-2025","Open PO Report by Vendor, Salesman, Date Created","From:12-18-2024 To 01-16-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Charleston","P129-1203712","Approved","01/03/2025","S129-277354","Lennar - Charleston","424 Cypress Preserve","","britney.pierson.Char","6,555.70"
"","Charleston","P129-1203668","Approved","01/03/2025","S129-277274","Lennar - Charleston","395 Cypress Preserve","","britney.pierson.Char","6,365.29"
"","Charleston","P129-1203615","Approved","01/03/2025","S129-277170","Lennar - Charleston","453 Cypress Preserve","","britney.pierson.Char","6,451.29"
"","Charleston","P129-1203558","Approved","01/02/2025","S129-277024","Lennar - Charleston","425 Cypress Preserve","","britney.pierson.Char","6,293.59"
"","Charleston","P129-1203492","Approved","01/02/2025","S129-276880","Lennar - Charleston","397 Cypress Preserve","","britney.pierson.Char","7,198.15"
"","Charleston","P129-1203420","Approved","01/02/2025","S129-276681","Lennar - Charleston","408 Cypress Preserve","","britney.pierson.Char","7,198.15"
"","Charleston","P129-1203363","Approved","01/02/2025","S129-276607","Lennar - Charleston","426 Cypress Preserve","","britney.pierson.Char","7,198.15"
"","Charleston","P129-1203035","Approved","12/26/2024","S129-276046","Lennar - Charleston","428 Cypress Preserve","","britney.pierson.Char","6,333.97"
"","Charleston","P129-1203027","Approved","12/26/2024","S129-276015","Lennar - Charleston","396 Cypress Preserve","","britney.pierson.Char","6,147.19"
"","Charleston","P129-1203016","Approved","12/26/2024","S129-276001","Lennar - Charleston","451 Cypress Preserve","","britney.pierson.Char","6,147.19"
"","Charleston","P129-1203004","Approved","12/26/2024","S129-275905","Lennar - Charleston","427 Cypress Preserve","","britney.pierson.Char","6,147.19"
"","Charleston","P129-1202942","Approved","12/26/2024","S129-275858","Lennar - Charleston","452 Cypress Preserve","","britney.pierson.Char","7,006.00"
"","Charleston","P129-1202914","Approved","12/26/2024","S129-275821","Lennar - Charleston","430 Cypress Preserve","","britney.pierson.Char","7,006.00"
"","Charleston","P129-1202887","Approved","12/26/2024","S129-275789","Lennar - Charleston","455 Cypress Preserve","","britney.pierson.Char","7,038.99"
"","Charleston","P129-1202876","Approved","12/26/2024","S129-275771","Lennar - Charleston","410 Cypress Preserve","","britney.pierson.Char","7,038.99"
"","Charleston","P129-1202852","Approved","12/23/2024","S129-275548","Lennar - Charleston","429 Cypress Preserve","","britney.pierson.Char","7,038.99"
"","Charleston","P129-1202812","Approved","12/23/2024","S129-275312","Lennar - Charleston","450 Cypress Preserve","","britney.pierson.Char","7,100.22"
"","Charleston","P129-1202776","Approved","12/23/2024","S129-275259","Lennar - Charleston","404 Cypress Preserve","","britney.pierson.Char","6,264.04"
"","Charleston","P129-1202197","Approved","12/20/2024","S129-274446","Lennar - Charleston","459 Cypress Preserve Carolina","","megan.wilson1","384.00"
"","Charleston","P129-1201407","Order Partially Received","12/18/2024","S129-272810","Lennar - Charleston","62 Patriot Park","","megan.wilson1","245.39"
"","Charleston","P129-1201377","Approved","12/18/2024","S129-272816","Lennar - Charleston","402 Cypress Preserve","","britney.pierson.Char","7,031.23"
"","Charleston","P129-1201316","Approved","12/18/2024","S129-272776","Lennar - Charleston","449 Cypress Preserve","","britney.pierson.Char","6,264.04"
"","Charleston","P129-1201260","Approved","12/18/2024","S129-272757","Lennar - Charleston","398 Cypress Preserve","","britney.pierson.Char","7,898.07"
"ABC Supply - Myrtle Beach","Myrtle Beach","P134-1207129","Approved","01/16/2025","S134-282595","Lennar - Myrtle Beach","28 Hidden Pines","","kelly.walker","8.60"
"","Myrtle Beach","P134-1207098","Approved","01/16/2025","S134-282535","Meritage - Myrtle Beach","167 Cypress Ridge","","maria.perdomo","3,397.76"
"","Myrtle Beach","P134-1207059","Approved","01/16/2025","S134-282487","Meritage - Myrtle Beach","258 Cypress Ridge","","maria.perdomo","13.26"
"","Myrtle Beach","P134-1206790","Approved","01/15/2025","S134-281956","Meritage - Myrtle Beach","146 Cypress Ridge","","maria.perdomo","38.08"
"","Myrtle Beach","P134-1206782","Approved","01/15/2025","S134-281949","Meritage - Myrtle Beach","143 Cypress Ridge","","maria.perdomo","38.08"
"","Myrtle Beach","P134-1206342","Approved","01/15/2025","S134-281548","Chesapeake Homes - Myrtle Beach","79 Shorehaven","","kelly.walker","52.40"
"","Myrtle Beach","P134-1206337","Approved","01/15/2025","S134-281545","Meritage - Myrtle Beach","162 Cypress Ridge","","maria.perdomo","78.70"
"","Myrtle Beach","P134-1206297","Approved","01/14/2025","S134-281468","Lennar - Myrtle Beach","252 Beach Walk","","kelly.walker","4.12"
"","Myrtle Beach","P134-1205642","Approved","01/13/2025","S134-280455","Meritage - Myrtle Beach","212 Cypress Ridge","","maria.perdomo","2,654.65"
"","Myrtle Beach","P134-1205549","Approved","01/13/2025","S134-280277","Meritage - Myrtle Beach","211 Cypress Ridge","","maria.perdomo","3,173.49"
"","Myrtle Beach","P134-1205228","Approved","01/09/2025","S134-279597","Lennar - Myrtle Beach","82 Wood Stork Landing","","christine.podlesny","1,246.00"
"","Myrtle Beach","P134-1205105","Approved","01/09/2025","S134-279349","Lennar - Myrtle Beach","28 Indigo Creek","","maria.perdomo","1,003.00"
"","Myrtle Beach","P134-1204832","Approved","01/08/2025","S134-278954","Chesapeake Homes - Myrtle Beach","28 Traditions at Carolina Forest","","kelly.walker","194.51"
"","Myrtle Beach","P134-1204539","Approved","01/07/2025","S134-278602","Meritage - Myrtle Beach","238 Cypress Ridge","","maria.perdomo","20.40"
"","Myrtle Beach","P134-1204519","Approved","01/07/2025","S134-278562","Meritage - Myrtle Beach","160 Cypress Ridge","","maria.perdomo","44.64"
"","Myrtle Beach","P134-1204484","Approved","01/07/2025","S134-278502","Chesapeake Homes - Myrtle Beach","32 Traditions at Carolina Forest","","kelly.walker","131.00"
"","Myrtle Beach","P134-1203981","Approved","01/06/2025","S134-277682","Chesapeake Homes - Myrtle Beach","5 Traditions at Carolina Forest","","kelly.walker","32.68"
"","Myrtle Beach","P134-1203969","Approved","01/06/2025","S134-277676","Chesapeake Homes - Myrtle Beach","28 Traditions at Carolina Forest","","kelly.walker","194.45"
"","Myrtle Beach","P134-1203666","Approved","01/03/2025","S134-277256","Meritage - Myrtle Beach","242 Cypress Ridge","","maria.perdomo","2,780.49"
"","Myrtle Beach","P134-1203627","Approved","01/03/2025","S134-277186","Meritage - Myrtle Beach","241 Cypress Ridge","","maria.perdomo","2,473.48"
"","Myrtle Beach","P134-1203583","Approved","01/03/2025","S134-276802","Meritage - Myrtle Beach","166 Cypress Ridge","","maria.perdomo","3,049.73"
"","Myrtle Beach","P134-1203476","Approved","01/02/2025","S134-276839","Meritage - Myrtle Beach","240 Cypress Ridge","","christine.podlesny","3,354.10"
"","Myrtle Beach","P134-1203456","Approved","01/02/2025","S134-276770","Meritage - Myrtle Beach","165 Cypress Ridge","","maria.perdomo","3,359.90"
"","Myrtle Beach","P134-1203427","Approved","01/02/2025","S134-276696","Meritage - Myrtle Beach","164 Cypress Ridge","","maria.perdomo","2,728.95"
"","Myrtle Beach","P134-1202884","Approved","12/26/2024","S134-275782","Lennar - Myrtle Beach","48 Wood Stork Landing","","maria.perdomo","1,246.00"
"","Myrtle Beach","P134-1201786","Approved","12/19/2024","S134-273416","Toll Brothers - Myrtle Beach","92 Sayebrook","","maria.perdomo","100.28"
"","Myrtle Beach","P134-1201769","Approved","12/19/2024","S134-273351","Toll Brothers - Myrtle Beach","14 Sayebrook","","christine.podlesny","401.12"
"","Myrtle Beach","P134-1201643","Approved","12/19/2024","S134-273090","Lennar - Myrtle Beach","323 Hidden Pines","","maria.perdomo","1,003.00"
"","Myrtle Beach","P134-1201454","Approved","12/18/2024","S134-272894","Lennar - Myrtle Beach","319 Hidden Pines","","maria.perdomo","1,258.00"
"","Myrtle Beach","P134-1201431","Approved","12/18/2024","S134-272875","Lennar - Myrtle Beach","320 Hidden Pines","","christine.podlesny","1,003.00"
"","Myrtle Beach","P134-1201066","Approved","12/18/2024","S134-272583","Lennar - Myrtle Beach","316 Hidden Pines","","christine.podlesny","1,258.00"
"","Myrtle Beach","P134-1200974","Approved","12/18/2024","S134-272470","Lennar - Myrtle Beach","315 Hidden Pines","","maria.perdomo","1,003.00"
"ABC Supply - Myrtle Beach - Beazer Homes","Myrtle Beach","P134-1205202","Approved","01/09/2025","S134-279485","Beazer Homes - Myrtle Beach","31 Inlet Keys","","maria.perdomo","3,470.41"
"","Myrtle Beach","P134-1205115","Approved","01/09/2025","S134-279344","Beazer Homes - Myrtle Beach","33 Inlet Keys","","christine.podlesny","4,207.61"
"","Myrtle Beach","P134-1204518","Approved","01/07/2025","S134-277831","Beazer Homes - Myrtle Beach","19 Inlet Keys","","christine.podlesny","3,289.62"
"ABC Supply - Myrtle Beach - Chesapeake Homes","Myrtle Beach","P134-1206966","Approved","01/16/2025","S134-282277","Chesapeake Homes - Myrtle Beach","121 Bridgewater Grandview","","christine.podlesny","7,003.30"
"","Myrtle Beach","P134-1206889","Approved","01/16/2025","S134-282132","Chesapeake Homes - Myrtle Beach","49 Traditions at Carolina Forest","","maria.perdomo","177.26"
"","Myrtle Beach","P134-1206521","Approved","01/15/2025","S134-281684","Chesapeake Homes - Myrtle Beach","73 Shorehaven","","maria.perdomo","68.64"
"","Myrtle Beach","P134-1206407","Approved","01/15/2025","S134-281601","Chesapeake Homes - Myrtle Beach","607 Waterbridge","","maria.perdomo","24.30"
"","Myrtle Beach","P134-1206366","Approved","01/15/2025","S134-281557","Chesapeake Homes - Myrtle Beach","89 Shorehaven","","maria.perdomo","5,738.44"
"","Myrtle Beach","P134-1206347","Approved","01/15/2025","S134-281551","Chesapeake Homes - Myrtle Beach","49 Traditions at Carolina Forest","","maria.perdomo","17.82"
"","Myrtle Beach","P134-1206333","Approved","01/15/2025","S134-281328","Chesapeake Homes - Myrtle Beach","89 Traditions at Carolina Forest","","christine.podlesny","5,865.71"
"","Myrtle Beach","P134-1206321","Approved","01/15/2025","S134-281508","Chesapeake Homes - Myrtle Beach","5 Traditions at Carolina Forest","","maria.perdomo","3.81"
"","Myrtle Beach","P134-1204420","Approved","01/07/2025","S134-278310","Chesapeake Homes - Myrtle Beach","5 Traditions at Carolina Forest","","maria.perdomo","24.00"
"","Myrtle Beach","P134-1204412","Approved","01/07/2025","S134-278300","Chesapeake Homes - Myrtle Beach","32 Traditions at Carolina Forest","","maria.perdomo","24.00"
"","Myrtle Beach","P134-1204372","Approved","01/07/2025","S134-278257","Chesapeake Homes - Myrtle Beach","24 Traditions @ Carolina Forest","","maria.perdomo","6.10"
"","Myrtle Beach","P134-1204356","Approved","01/07/2025","S134-278225","Chesapeake Homes - Myrtle Beach","5 Traditions at Carolina Forest","","maria.perdomo","207.20"
